,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,popularity,explicit,id,name,artists,available_markets,collab
1959-07-01,0.534,0.8029999999999999,10,5,1,0.0743,0.741,6.07e-05,0.307,0.9690000000000001,8,3,0.74,0,2QfiRTz5Yc8DdShCxG1tB2,Johnny B. Goode,Chuck Berry,1.0,0
1959-07-01,0.7559999999999999,0.768,0,5,1,0.11199999999999999,0.735,0.0,0.182,0.7829999999999999,6,2,0.56,0,3SQhmctWreNM0X6Zkm2K5R,Maybellene,Chuck Berry,1.0,0
1959-08-17,0.638,0.18600000000000005,8,4,1,0.0347,0.703,0.00103,0.11800000000000001,0.498,6,10,0.55,0,2x91iJc0UkFcjRMEZ2CoWB,Freddie Freeloader,Miles Davis,1.0,0
1959-08-17,0.508,0.149,0,4,1,0.0313,0.7709999999999999,0.00474,0.115,0.365,7,12,0.53,0,5o3DSHw1ORhM3lWxqGRvEf,All Blues,Miles Davis,1.0,0
1959-08-17,0.485,0.14400000000000002,10,5,1,0.0362,0.912,0.00011399999999999999,0.0965,0.24600000000000002,4,5,0.57,0,4zxd4tiXPlWMqoJltbVTbE,Stella By Starlight,Miles Davis,1.0,0
1959-08-17,0.517,0.151,0,4,1,0.0373,0.705,0.0013599999999999999,0.11599999999999999,0.21,7,9,0.63,0,4vLYewWIvqHfKtJDk8c8tq,So What,Miles Davis,1.0,0
1959-08-17,0.349,0.0219,2,4,0,0.0425,0.899,0.12,0.0906,0.22399999999999998,9,9,0.58,0,6dRx7OUXfvosnXG3g9lWGi,Flamenco Sketches,Miles Davis,1.0,0
1959-08-17,0.42100000000000004,0.0161,2,3,0,0.0374,0.81,0.0021,0.0978,0.16,6,6,0.66,0,0aWMVrwxPNYkKmFthzmpRi,Blue in Green,Miles Davis,1.0,0
1960,0.273,0.34700000000000003,5,5,1,0.0292,0.546,0.0137,0.334,0.328,4,3,0.75,0,4Hhv2vrOTy89HFRcjU3QOx,At Last,Etta James,1.0,0
1960,0.371,0.244,8,5,1,0.03,0.725,8.87e-05,0.456,0.51,9,3,0.52,0,7Ca3Zb8wejNYCoei3tlJ9e,All I Could Do Was Cry,Etta James,1.0,0
1960,0.262,0.35600000000000004,0,5,0,0.0303,0.613,0.0,0.175,0.424,9,3,0.59,0,2IdwQxhJn9ZE4zIotcCefR,Stormy Weather,Etta James,1.0,0
1960,0.0,0.377,10,5,0,0.0,0.7759999999999999,0.0,0.39,0.0,0,3,0.5,0,5Zu9mG353GB3p26t7M5AmR,Trust In Me,Etta James,1.0,0
1960,0.418,0.285,2,5,0,0.0291,0.83,1.53e-06,0.233,0.4,4,3,0.66,0,0zGLlXbHlrAyBN1x6sY0rb,A Sunday Kind Of Love,Etta James,1.0,0
1960,0.6559999999999999,0.523,3,5,1,0.0949,0.772,3.26e-06,0.527,0.6509999999999999,5,3,0.63,0,3QnHWkNMY2mpy494Bis0ly,I Just Want To Make Love To You - Single Version,Etta James,1.0,0
1960-01-01,0.5529999999999999,0.29100000000000004,4,5,0,0.0301,0.878,0.0,0.129,0.407,5,3,0.63,0,0BFEyqJ9DJXS7gKg0Kj46R,You Send Me,Sam Cooke,1.0,0
1960-01-01,0.482,0.569,0,5,1,0.0328,0.617,0.0,0.155,0.609,4,3,0.64,0,4yjz1aazw6R8ZURpGbCAkp,Bring It On Home To Me,Sam Cooke,1.0,0
1960-01-01,0.54,0.784,4,5,1,0.0575,0.13699999999999998,0.0011300000000000001,0.34600000000000003,0.9640000000000001,7,3,0.43,0,1miwQNADgNEBikbUBful7z,Road Runner,Bo Diddley,1.0,0
1960-01-01,0.474,0.478,7,5,1,0.0343,0.484,0.0,0.0833,0.831,6,3,0.56,0,6VqVieqjDEwS3mByMq4OzB,Cupid,Sam Cooke,1.0,0
1960-08-07,0.7829999999999999,0.3720000000000001,5,5,0,0.0659,0.429,0.00893,0.152,0.934,4,2,0.42,0,0CIc4SaHV9RaQvXscSlVFH,My Girl Josephine,Fats Domino,1.0,0
1960-08-07,0.5820000000000001,0.289,1,5,1,0.0465,0.518,0.0,0.107,0.743,4,2,0.43,0,5TcEq6qNQJ7HXeTxwB3ZGB,Walking To New Orleans,Fats Domino,1.0,0
1960-10,0.65,0.246,6,4,1,0.0263,0.846,5.07e-06,0.18600000000000005,0.539,5,2,0.45,0,6hgY1l6EqrfrHRNrxwKRiK,Love Hurts - Remastered Version,The Everly Brothers,1.0,0
1960-10,0.507,0.561,7,5,1,0.0353,0.5479999999999999,0.0,0.59,0.89,6,2,0.48,0,27bw4i8LnECzVlbMZ4kFHw,Cathy's Clown - Remastered Album Version,The Everly Brothers,1.0,0
1961,0.57,0.529,5,5,1,0.028,0.377,0.00509,0.203,0.934,6,2,0.62,0,0PkBTqRtN25z3oKasWoKlj,Only the Lonely,Roy Orbison,1.0,0
1961-01-01,0.55,0.382,0,5,1,0.0263,0.312,1.11e-05,0.221,0.464,7,3,0.64,0,0bwy3sGHeYwng2Ioicq6wf,Will You Love Me Tomorrow,The Shirelles,1.0,0
1961-01-01,0.398,0.325,10,5,1,0.0382,0.812,0.0,0.16899999999999998,0.454,4,2,0.43,0,36f5xtZ2CXIc1WOirnnD3j,Dedicated To The One I Love,The Shirelles,1.0,0
1961-01-01,0.602,0.633,9,5,1,0.0314,0.502,0.0,0.0614,0.9309999999999999,5,2,0.51,0,6ImmlZj8ysK2jDnqqbKp60,"Hello Mary Lou, Goodbye Heart - Remastered",Ricky Nelson,1.0,0
1961-01-01,0.723,0.44,2,5,1,0.0319,0.667,0.0,0.128,0.843,6,2,0.53,0,1sM0yZDxUhPQhkDh2CLd6l,Travelin' Man - Remastered,Ricky Nelson,1.0,0
1961-01-01,0.552,0.7,7,6,1,0.0295,0.809,0.0,0.805,0.9009999999999999,7,3,0.51,0,47IRIQxGDe2Sc6F4pe2FMf,Shop Around,The Miracles,1.0,0
1961-01-01,0.22699999999999998,0.311,4,5,0,0.0314,0.929,5.81e-06,0.11199999999999999,0.214,9,3,0.29,0,25IFkeYPD9OBfwaZkosRCP,(You Can) Depend On Me - Single Version,The Miracles,1.0,0
1961-01-01,0.537,0.604,0,5,1,0.039,0.669,0.0,0.181,0.818,7,2,0.28,0,5gbnpPSUFVrvwKFtlb2GNj,Boys,The Shirelles,1.0,0
1961-01-01,0.6859999999999999,0.6920000000000001,10,5,1,0.0419,0.902,0.00047400000000000003,0.10400000000000001,0.9620000000000001,4,3,0.57,0,6TXnGAr6DLVYshIrMeP0lZ,Route 66,Chuck Berry,1.0,0
1961-02-01,0.647,0.654,4,5,1,0.0563,0.328,0.0,0.141,0.888,7,2,0.51,0,2Qs5tJfqwvz3rEqzfORrVP,Mama Said,The Shirelles,1.0,0
1961-03,0.703,0.7240000000000001,7,5,1,0.0467,0.73,0.0,0.518,0.963,7,3,0.55,0,7v1858htfU0srTDwhxeka8,Chain Gang - Remastered,Sam Cooke,1.0,0
1961-10-20,0.396,0.293,2,5,1,0.0275,0.941,0.000196,0.105,0.343,5,3,0.79,0,44AyOl4qVkzS48vBsbNXaC,Can't Help Falling in Love,Elvis Presley,1.0,0
1962,0.672,0.358,7,5,0,0.0286,0.289,0.00158,0.334,0.608,6,3,0.46,0,52wBOrIX3kkNe1KEALXOGy,Baby It's You,The Shirelles,1.0,0
1962,0.8909999999999999,0.416,0,5,1,0.084,0.733,0.607,0.201,0.863,6,3,0.36,0,2wHCe9ru5uJ2qSRIHfBwbk,Rinky Dink,"""Booker T. & the M.G.s""",1.0,0
1962,0.449,0.287,5,5,1,0.0324,0.843,0.825,0.14400000000000002,0.122,10,4,0.42,0,7viT9kDjq8PIx57sRCID0b,Behave Yourself,"""Booker T. & the M.G.s""",1.0,0
1962,0.816,0.514,10,5,1,0.0339,0.767,0.949,0.0899,0.912,7,3,0.66,0,4fQMGlCawbTkH9yPPZ49kP,Green Onions,"""Booker T. & the M.G.s""",1.0,0
1962,0.546,0.21,10,5,1,0.0272,0.85,1.5e-05,0.348,0.511,5,3,0.37,0,7Ag7rVozR1OhzSdqc9K0KN,Soldier Boy,The Shirelles,1.0,0
1962,0.619,0.603,9,5,1,0.0342,0.715,0.0,0.0721,0.958,6,3,0.73,0,48i055G1OT5KxGGftwFxWy,"Oh, Pretty Woman",Roy Orbison,1.0,0
1962,0.462,0.319,0,5,1,0.0255,0.74,0.000758,0.0803,0.489,4,3,0.52,0,3HZMEIZY9Z6GdhPaG5bAK2,It's Over,Roy Orbison,1.0,0
1962-01-01,0.35,0.293,2,5,1,0.0258,0.758,8.21e-06,0.104,0.162,5,3,0.61,0,6eLL7QTdMWdhhG4i3jHDR9,Crying,Roy Orbison,1.0,0
1962-01-01,0.436,0.526,7,5,0,0.0306,0.64,0.0,0.124,0.815,5,3,0.3,0,21m543vxwOjEI0ZaxBxptB,I'll Try Something New,The Miracles,1.0,0
1962-01-11,0.528,0.5920000000000001,9,5,0,0.0621,0.747,1.13e-06,0.203,0.925,8,3,0.42,0,10HdfEE0sausAJu8HJD3Dp,Back Door Man,"""Howlin Wolf""",1.0,0
1962-01-11,0.546,0.185,9,4,1,0.0409,0.7609999999999999,1.1e-06,0.218,0.682,3,2,0.44,0,22o1qy3iZ7CyXUdK6BIf2n,Little Red Rooster,"""Howlin Wolf""",1.0,0
1962-01-11,0.821,0.376,0,5,1,0.0487,0.669,1.39e-05,0.106,0.8240000000000001,6,3,0.54,0,7j02rdE5RVtNcNMuLGY5SS,Spoonful,"""Howlin Wolf""",1.0,0
1962-04,0.458,0.8009999999999999,9,5,1,0.0565,0.691,0.0,0.328,0.93,8,3,0.61,0,7FS541dJh3iQAEXEZoDhE6,Twistin' the Night Away,Sam Cooke,1.0,0
1962-06-01,0.61,0.378,2,5,1,0.0279,0.622,0.0,0.14400000000000002,0.48,5,2,0.56,0,3lWuagNhAzcqOikD5KnBku,Crying in the Rain,The Everly Brothers,1.0,0
1962-06-01,0.624,0.358,1,5,1,0.0342,0.752,0.0,0.0593,0.871,7,2,0.53,0,3NUXLtK8UGdD8TvZ12b4dD,Walk Right Back,The Everly Brothers,1.0,0
1963,0.514,0.624,0,5,0,0.0842,0.513,0.00517,0.307,0.755,8,3,0.64,0,3VgrSJEKBRT3xmwzpaxxEF,(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas,1.0,0
1963,0.532,0.664,3,5,1,0.0447,0.653,1.14e-06,0.208,0.848,6,2,0.33,0,5gwvsIrTVL4F76tn9xEhQ3,Come And Get These Memories,Martha Reeves & The Vandellas,1.0,0
1963,0.7390000000000001,0.743,7,5,0,0.0321,0.452,0.0,0.331,0.922,6,2,0.4,0,093adSf9ll30BEpggrfask,Foolish Little Girl,The Shirelles,1.0,0
1963,0.18,0.325,7,5,1,0.0318,0.865,0.0959,0.107,0.321,8,2,0.18,0,3jSoCdCbyZ2gMrQ9J3LA47,Silent Night,The Ronettes,1.0,0
1963,0.584,0.68,8,5,1,0.0817,0.515,0.0,0.204,0.87,7,3,0.3,0,2SnzwEu9uB9VGCx8Faj97j,Baby Workout,Jackie Wilson,1.0,0
1963-01-01,0.6709999999999999,0.442,0,5,1,0.0332,0.758,1.63e-05,0.10800000000000001,0.7490000000000001,6,2,0.49,0,4Y6pdMS2PwGshq1MYcJ9fC,I Will Follow You,Ricky Nelson,1.0,0
1963-01-01,0.655,0.6509999999999999,9,5,1,0.0323,0.0219,1.07e-05,0.207,0.867,6,3,0.4,0,3jkcKJnxkPwx2aYSQ7D0Wp,Fools Rush In,Ricky Nelson,1.0,0
1963-01-01,0.68,0.44799999999999995,0,5,1,0.0302,0.698,0.0,0.22699999999999998,0.5670000000000001,6,3,0.57,0,7wLRmjiDYI6flIVzboUqSV,You've Really Got A Hold On Me,The Miracles,1.0,0
1963-02,0.373,0.301,9,5,1,0.0314,0.769,0.0,0.0816,0.436,3,3,0.59,0,6e6Kxot9nHyZ4I8GgmGKII,Nothing Can Change This Love,Sam Cooke,1.0,0
1963-02-01,0.495,0.435,0,5,1,0.0286,0.67,0.00038,0.13,0.71,5,3,0.54,0,44pN9jfSqY3d3lrKuv3QeN,In Dreams,Roy Orbison,1.0,0
1963-03-22,0.482,0.8490000000000001,2,5,1,0.0452,0.6409999999999999,7.74e-06,0.0414,0.937,6,3,0.75,0,5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,The Beatles,1.0,0
1963-03-25,0.55,0.8540000000000001,3,5,1,0.036000000000000004,0.6609999999999999,0.0,0.112,0.965,8,2,0.73,0,0wz1LjDb9ZNEYwOmDJ3Q4b,Surfin' U.S.A. - Remastered,The Beach Boys,1.0,0
1963-05-27,0.6,0.243,4,4,1,0.0366,0.89,0.0022,0.249,0.46799999999999997,6,4,0.66,0,2WOjLF83vqjit2Zh4B69V3,"Don't Think Twice, It's All Right",Bob Dylan,1.0,0
1963-05-27,0.38,0.0993,2,4,1,0.0509,0.914,2.3199999999999998e-05,0.0605,0.44,9,3,0.7,0,18GiV1BaXzPVYpp9rmOg0E,Blowin' in the Wind,Bob Dylan,1.0,0
1964,0.618,0.7040000000000001,4,6,1,0.0321,0.159,0.000262,0.358,0.741,6,3,0.65,0,3496rr5XSGD6n1Z1OKXovb,The Way You Do The Things You Do,The Temptations,1.0,0
1964,0.883,0.464,10,5,1,0.0591,0.279,1.51e-05,0.0744,0.925,6,3,0.7,0,1aj4GXfmEYXfdVZohCpNKu,Stand by Me,Otis Redding,1.0,0
1964,0.403,0.284,10,5,1,0.0338,0.7979999999999999,0.0,0.142,0.6859999999999999,9,3,0.61,0,4skknrc3sJqaPTtUr2cwFq,These Arms of Mine,Otis Redding,1.0,0
1964-01-13,0.389,0.396,7,5,1,0.0332,0.887,0.0,0.0828,0.585,9,3,0.7,0,52vA3CYKZqZVdQnzRrdZt6,The Times They Are A-Changin',Bob Dylan,1.0,0
1964-03-01,0.7759999999999999,0.659,9,5,1,0.051,0.434,0.0,0.0868,0.969,6,3,0.55,0,5z8DiKSG4EwxmO6gUi12rZ,Another Saturday Night,Sam Cooke,1.0,0
1964-03-01,0.212,0.383,10,5,1,0.0347,0.723,0.0,0.299,0.452,9,3,0.67,0,0KOE1hat4SIer491XKk4Pa,A Change Is Gonna Come,Sam Cooke,1.0,0
1964-03-02,0.487,0.464,4,5,1,0.03,0.0666,0.0053100000000000005,0.105,0.851,6,3,0.65,0,1GLmaPfulP0BrfijohQpN5,Don't Worry Baby - Remastered 2001,The Beach Boys,1.0,0
1964-04-05,0.626,0.307,9,5,1,0.0836,0.6890000000000001,0.00663,0.0843,0.62,9,3,0.45,0,2txRs0wxjGE1uzOhcBxN7L,Good Morning Little School Girl,Muddy Waters,1.0,0
1964-05-13,0.4,0.818,0,5,1,0.08,0.45799999999999996,3.25e-06,0.132,0.9359999999999999,8,2,0.66,0,5UvE5QlINnvEc7aFO14DVL,Great Balls Of Fire,Jerry Lee Lewis,1.0,0
1964-06-01,0.738,0.35600000000000004,1,5,1,0.0341,0.5479999999999999,0.0,0.248,0.862,5,3,0.35,0,3CH8M5lB931faZDzjCTfVW,On Broadway,The Drifters,1.0,0
1964-06-01,0.747,0.226,7,5,1,0.0415,0.9079999999999999,0.000168,0.107,0.778,6,3,0.69,0,65jrjEhWfAvysKfnojk1i0,Under the Boardwalk,The Drifters,1.0,0
1964-06-01,0.693,0.29,8,4,1,0.0334,0.708,1.49e-05,0.13699999999999998,0.92,6,3,0.53,0,7cNRqg0lbiqBaGeOlA4AEU,Up on the Roof,The Drifters,1.0,0
1964-06-13,0.596,0.194,10,4,1,0.0347,0.97,0.162,0.099,0.746,6,3,0.36,0,3X9tJw6z5LowFx339fhTvu,I Walk the Line - Stereo Version,Johnny Cash,1.0,0
1964-07-13,0.39,0.625,9,5,0,0.0537,0.36,0.0,0.0663,0.514,7,2,0.66,0,3v9xlH6BpmRbqL7hgNJhfT,I Get Around (Mono),The Beach Boys,1.0,0
1964-08-01,0.7090000000000001,0.62,2,5,1,0.034,0.318,0.0,0.0426,0.936,5,2,0.62,0,11fNLqDB47gMKj7BHhR2Qr,Wake up Little Susie,The Everly Brothers,1.0,0
1964-08-01,0.534,0.462,4,5,1,0.0266,0.8390000000000001,0.0,0.129,0.534,5,2,0.67,0,7dblNGnRXEBrVJunazs2U5,All I Have to Do Is Dream,The Everly Brothers,1.0,0
1964-08-01,0.518,0.4320000000000001,10,5,0,0.0459,0.401,0.0,0.299,0.701,7,2,0.54,0,2erTdgDOZmjJNaNhjhWXhJ,('Til) I Kissed You,The Everly Brothers,1.0,0
1964-08-01,0.547,0.523,9,5,1,0.0572,0.7240000000000001,0.0,0.103,0.89,8,2,0.61,0,6oRHRkQigTzJ3KwpO3XOV6,Bye Bye Love,The Everly Brothers,1.0,0
1964-08-01,0.5870000000000001,0.34,3,5,1,0.0256,0.8340000000000001,0.0,0.0955,0.526,5,2,0.49,0,4FrMb1ckGBrhARbHySQKx5,Devoted to You,The Everly Brothers,1.0,0
1964-10-02,0.551,0.86,7,5,1,0.0796,0.262,4.57e-06,0.0558,0.723,7,2,0.69,0,78JmElAFmrPNhLjovDR9Jm,All Day and All of the Night,The Kinks,1.0,0
1964-10-02,0.573,0.939,8,5,1,0.0808,0.493,0.0,0.0994,0.963,7,2,0.72,0,29SyMC0plk6qw8NMF7lfRL,You Really Got Me - Mono Mix,The Kinks,1.0,0
1964-10-19,0.525,0.21600000000000005,6,5,1,0.0301,0.8370000000000001,0.0,0.107,0.328,5,3,0.75,0,5y788ya4NvwhBznoDIcXwK,The Sound of Silence - Acoustic Version,Simon & Garfunkel,1.0,0
